id,name,country,slogan,head_quaters,website,established
1.0,Quatar Airways,Quatar,Going Places Together,"Qatar Airways Towers, Doha, Qatar",www.qatarairways.com,1994
2.0,Singapore Airlines,Singapore,A Great Way to Fly,"Airline House, 25 Airline Road, Singapore 819829",www.singaporeair.com,1947
3.0,Cathay Pacific,Hong Kong,Move Beyond,"Cathay City, Hong Kong International Airport, Chek Lap Kok, Hong Kong",www.cathaypacific.com,1946
4.0,Emirates,Dubai,From Dubai to destinations around the world.,"Garhoud, Dubai, United Arab Emirates",www.emirates.com/,1985
5.0,Eva Air,Taiwan,"Sharing the World, Flying Together","376, Hsin-Nan Rd., Sec. 1, Luzhu, Taoyuan City, Taiwan",www.evaair.com,1989
6.0,Qantas,Austrailia,Spirit of Australia,"Mascot, Sydney, Australia",qantas.com,1920
7.0,Deutsche Lufthansa AG,Germany,Say yes to the world,"Cologne, Germany",lufthansa.com,1953
8.0,Thai Airways,Thailand,Smooth as Silk / I Fly THAI,"Jom Phol Subdistrict, Chatuchak, Bangkok, Thailand",www.thaiairways.com,1960
9.0,Japan Airlines,Japan,Fly into tomorrow,"Shinagawa, Tokyo, Japan",www.jal.com,1951
10.0,Swiss International Air Lines,Switzerland,Made of Switzerland. The Airline of Switzerland,"EuroAirport Basel Mulhouse Freiburg near Basel, Switzerland",www.swiss.com,2002
12.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
929292.0,tareqh Airways,india,Going Places Together,dubai emirates,www.dubai-Emirates.com,1998
786.0,Tareqh Ahmed Shah,India,Going Places Together,"Dubai Airways Towers, Doha, Qatar",www.Dubai-Emirates.com,1998
92.0,Tareqh Ahmed Shah,India,Going Places Together,"Dubai Airways Towers, Doha, Qatar",www.Dubai-Emirates.com,1998
123.0,Tareqh Ahmed Shah,India,Going Places Together,"Dubai Airways Towers, Doha, Qatar",www.Dubai-Emirates.com,1998
999.0,Tareqh Ahmed Shah,India,Going Places Together,"Dubai Airways Towers, Doha, Qatar",www.Dubai-Emirates.com,1998
78692.0,Tareqh Ahmed Shah,India,Going Places Together,"Dubai Airways Towers, Doha, Qatar",www.Dubai-Emirates.com,1998
12345677241241.0,Codepanda airline,India,From India,"Noida, India",codepanda.in,1990
135.0,TATA Airways,India,TATA,"Mumbai, India",www.TATAAirways.com,2021
1223.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
1211.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
3079.0,Air India,India,From India,"CP, India",www.airindia.com,1990
1234.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
88.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
1998.0,shah ahmed,INDIA,Going Places Together,"INDIA Airways Towers, Doha, Qatar",www.INDIA.com,1998
92786.0,tareqh shah,DUBAI,Going Places Together,"DUBAI Airways Towers, Doha, Qatar",www.DUBAI.com,1996
45.0,FinnAir Airways,Finland,From Finland,"Helsinki, Denmark",www.finnair.com,1994
56.0,FinnAir Airways,Finland,From Finland,"Helsinki, Denmark",www.finnair.com,1994
991102.0,Test Airways,Test12322,From Russia,"Read, Russia",www.testaerfoflow.com,1997
31321.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
31.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
99245.0,Dutch Airways,Germany,From Germany,"Berlin, Germany",www.dutchairways.com,1998
331.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
0.0,FLYUIA,Ukrain,Хреновей нас нету,Ukrline,https://www.flyuia.com/hu/ru/home,1993
321.0,TEST,TEST,TEST,TEST,TEST,TEST
1154.0,Quatar Airways,Quatar,Going Places Together,"Qatar Airways Towers, Doha, Qatar",www.qatarairways.com,1994
5252.0,Quatar Airways,Quatar,Going Places Together,"Qatar Airways Towers, Doha, Qatar",www.qatarairways.com,1994
13.0,Raj Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
14.0,Sri Lankan Airways,Sri Lanka,From Sri Lanka,"Katunayake, Sri Lanka",www.srilankaairways.com,1990
55442.0,Jatin Test Airways,Italy,From Italy,"Italy, Italy",www.jatintestairways.com,2011
